X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
-74.2973,4.5709,38,Colombia,2021/10/21 12:21:18+00,4.5709,-74.2973,4984751,126931,0,0,9796.518216,,,2.546385968,170,COL
43.3333,-11.6455,39,Comoros,2021/10/21 12:21:18+00,-11.6455,43.3333,4194,147,0,0,482.2934814,,,3.505007153,174,COM
15.8277,-0.228,40,Congo (Brazzaville),2021/10/21 12:21:18+00,-0.228,15.8277,15962,231,0,0,289.2666523,,,1.447187069,178,COG
21.7587,-4.0383,41,Congo (Kinshasa),2021/10/21 12:21:18+00,-4.0383,21.7587,57402,1091,0,0,64.09234049,,,1.90063064,180,COD
-83.7534,9.7489,42,Costa Rica,2021/10/21 12:21:18+00,9.7489,-83.7534,554604,6895,0,0,10887.15329,,,1.243229403,188,CRI
-5.5471,7.54,43,Cote d'Ivoire,2021/10/21 12:21:18+00,7.54,-5.5471,61113,689,0,0,231.6792891,,,1.127419698,384,CIV
15.2,45.1,44,Croatia,2021/10/21 12:21:18+00,45.1,15.2,436189,8968,0,0,10625.10413,,,2.055989491,191,HRV
-77.781167,21.521757,45,Cuba,2021/10/21 12:21:18+00,21.521757,-77.781167,940127,8114,0,0,8300.157788,,,0.863074882,192,CUB
33.4299,35.1264,46,Cyprus,2021/10/21 12:21:18+00,35.1264,33.4299,122709,567,0,0,10163.40597,,,0.462068797,196,CYP
15.473,49.8175,47,Czechia,2021/10/21 12:21:18+00,49.8175,15.473,1718808,30587,0,0,16050.15304,,,1.779547221,203,CZE
9.5018,56.2639,48,Denmark,2021/10/21 12:21:18+00,56.2639,9.5018,373336,2696,0,0,6445.492328,,,0.722137699,208,DNK
,,49,Diamond Princess,2021/10/21 12:21:18+00,34.68577,33.20123,712,13,0,0,0,,,1.825842697,9999,GTR
42.5903,11.8251,50,Djibouti,2021/10/21 12:21:18+00,11.8251,42.5903,13423,181,0,0,1358.600489,,,1.348431796,262,DJI
-61.371,15.415,51,Dominica,2021/10/21 12:21:18+00,15.415,-61.371,4412,30,0,0,6128.543846,,,0.679963735,212,DMA
-70.1627,18.7357,52,Dominican Republic,2021/10/21 12:21:18+00,18.7357,-70.1627,373040,4093,0,0,3438.820993,,,1.097201373,214,DOM
-78.1834,-1.8312,53,Ecuador,2021/10/21 12:21:18+00,-1.8312,-78.1834,514087,32937,0,0,2913.819938,,,6.406892219,218,ECU
30.802498,26.820553,54,Egypt,2021/10/21 12:21:18+00,26.820553,30.802498,321084,18105,0,0,313.7595868,,,5.638711365,818,EGY
-88.8965,13.7942,55,El Salvador,2021/10/21 12:21:18+00,13.7942,-88.8965,110188,3532,0,0,1698.806435,,,3.205430718,222,SLV
10.2679,1.6508,56,Equatorial Guinea,2021/10/21 12:21:18+00,1.6508,10.2679,13097,163,0,0,933.5096241,,,1.244559823,226,GNQ
39.7823,15.1794,57,Eritrea,2021/10/21 12:21:18+00,15.1794,39.7823,6780,45,0,0,191.1783324,,,0.663716814,232,ERI
25.0136,58.5953,58,Estonia,2021/10/21 12:21:18+00,58.5953,25.0136,177287,1438,0,0,13364.6278,,,0.811114182,233,EST
31.4659,-26.5225,59,Eswatini,2021/10/21 12:21:18+00,-26.5225,31.4659,46376,1236,0,0,3997.36589,,,2.665171641,748,SWZ
40.4897,9.145,60,Ethiopia,2021/10/21 12:21:18+00,9.145,40.4897,360503,6287,0,0,313.5801709,,,1.7439522,231,ETH
178.065,-17.7134,61,Fiji,2021/10/21 12:21:18+00,-17.7134,178.065,51909,663,0,0,5790.545756,,,1.277235162,242,FJI
25.7482,61.9241,62,Finland,2021/10/21 12:21:18+00,61.9241,25.7482,152707,1135,0,0,2756.086847,,,0.74325342,246,FIN
2.2137,46.2276,63,France,2021/10/21 12:21:18+00,46.2276,2.2137,7202932,118302,0,0,11034.99992,,,1.642414506,250,FRA
11.6094,-0.8037,64,Gabon,2021/10/21 12:21:18+00,-0.8037,11.6094,34281,219,0,0,1540.215157,,,0.63883784,266,GAB
-15.3101,13.4432,65,Gambia,2021/10/21 12:21:18+00,13.4432,-15.3101,9946,339,0,0,411.5590748,,,3.408405389,270,GMB
43.3569,42.3154,66,Georgia,2021/10/21 12:21:18+00,42.3154,43.3569,680182,9617,0,0,17050.69344,,,1.413886283,268,GEO
10.451526,51.165691,67,Germany,2021/10/21 12:21:18+00,51.165691,10.451526,4424804,94886,0,0,5281.207515,,,2.144411368,276,DEU
-1.0232,7.9465,68,Ghana,2021/10/21 12:21:18+00,7.9465,-1.0232,129592,1169,0,0,417.0573468,,,0.902061856,288,GHA
21.8243,39.0742,69,Greece,2021/10/21 12:21:18+00,39.0742,21.8243,704211,15485,0,0,6756.281459,,,2.198914814,300,GRC
-61.679,12.1165,70,Grenada,2021/10/21 12:21:18+00,12.1165,-61.679,5790,193,0,0,5145.797599,,,3.333333333,308,GRD
-90.2308,15.7835,71,Guatemala,2021/10/21 12:21:18+00,15.7835,-90.2308,591460,14515,0,0,3301.374721,,,2.454096642,320,GTM
-9.6966,9.9456,72,Guinea,2021/10/21 12:21:18+00,9.9456,-9.6966,30605,385,0,0,233.0426005,,,1.257964385,324,GIN
-15.1804,11.8037,73,Guinea-Bissau,2021/10/21 12:21:18+00,11.8037,-15.1804,6131,141,0,0,311.5348694,,,2.299787963,624,GNB
-58.93018,4.860416,74,Guyana,2021/10/21 12:21:18+00,4.860416,-58.93018,34726,881,0,0,4414.92628,,,2.537003974,328,GUY
-72.2852,18.9712,75,Haiti,2021/10/21 12:21:18+00,18.9712,-72.2852,23406,658,0,0,205.2701799,,,2.81124498,332,HTI
12.4534,41.9029,76,Holy See,2021/10/21 12:21:18+00,41.9029,12.4534,27,0,0,0,3337.453646,,,0,336,VAT
-86.2419,15.2,77,Honduras,2021/10/21 12:21:18+00,15.2,-86.2419,373206,10147,0,0,3768.003741,,,2.718873759,340,HND
19.5033,47.1625,78,Hungary,2021/10/21 12:21:18+00,47.1625,19.5033,841277,30468,0,0,8708.556108,,,3.621637106,348,HUN
-19.0208,64.9631,79,Iceland,2021/10/21 12:21:18+00,64.9631,-19.0208,12827,33,0,0,3758.827839,,,0.257269821,352,ISL
78.96288,20.593684,80,India,2021/10/21 12:21:18+00,20.593684,78.96288,34127450,452811,0,0,2472.995765,,,1.326823422,356,IND
113.9213,-0.7893,81,Indonesia,2021/10/21 12:21:18+00,-0.7893,113.9213,4237834,143120,0,0,1549.348456,,,3.377196936,360,IDN
53.688046,32.427908,82,Iran,2021/10/21 12:21:18+00,32.427908,53.688046,5821737,124585,0,0,6931.220766,,,2.139997049,364,IRN
43.679291,33.223191,83,Iraq,2021/10/21 12:21:18+00,33.223191,43.679291,2040235,22836,0,0,5072.37205,,,1.119282828,368,IRQ
-7.6921,53.1424,84,Ireland,2021/10/21 12:21:18+00,53.1424,-7.6921,421234,5369,0,0,8530.810102,,,1.274588471,372,IRL
34.851612,31.046051,85,Israel,2021/10/21 12:21:18+00,31.046051,34.851612,1320563,8030,0,0,15256.85107,,,0.608073981,376,ISR
12.5674,41.8719,86,Italy,2021/10/21 12:21:18+00,41.8719,12.5674,4725887,131688,0,0,7816.315114,,,2.786524519,380,ITA
-77.2975,18.1096,87,Jamaica,2021/10/21 12:21:18+00,18.1096,-77.2975,87723,2129,0,0,2962.452903,,,2.426957582,388,JAM
138.252924,36.204824,88,Japan,2021/10/21 12:21:18+00,36.204824,138.252924,1716658,18168,0,0,1357.294493,,,1.05833544,392,JPN
36.51,31.24,89,Jordan,2021/10/21 12:21:18+00,31.24,36.51,846033,10903,0,0,8291.888575,,,1.288720416,400,JOR
66.9237,48.0196,90,Kazakhstan,2021/10/21 12:21:18+00,48.0196,66.9237,1001369,16794,0,0,5333.038429,,,1.677104045,398,KAZ
37.9062,-0.0236,91,Kenya,2021/10/21 12:21:18+00,-0.0236,37.9062,252308,5238,0,0,469.2242888,,,2.076034054,404,KEN
-168.734,-3.3704,92,Kiribati,2021/10/21 12:21:18+00,-3.3704,-168.734,2,0,0,0,1.700593507,,,0,296,KIR
127.766922,35.907757,93,"Korea, South",2021/10/21 12:21:18+00,35.907757,127.766922,347529,2709,0,0,677.8516443,,,0.779503293,410,KOR
20.902977,42.602636,94,Kosovo,2021/10/21 12:21:18+00,42.602636,20.902977,160572,2974,0,0,8869.587697,,,1.85212864,383,XKS
47.481766,29.31166,95,Kuwait,2021/10/21 12:21:18+00,29.31166,47.481766,412424,2458,0,0,9657.368361,,,0.595988594,414,KWT
74.766098,41.20438,96,Kyrgyzstan,2021/10/21 12:21:18+00,41.20438,74.766098,180223,2643,0,0,2762.380807,,,1.466516482,417,KGZ
102.495496,19.85627,97,Laos,2021/10/21 12:21:18+00,19.85627,102.495496,33998,49,0,0,467.2907473,,,0.144126125,418,LAO
24.6032,56.8796,98,Latvia,2021/10/21 12:21:18+00,56.8796,24.6032,194256,2967,0,0,10298.7909,,,1.52736595,428,LVA
35.8623,33.8547,99,Lebanon,2021/10/21 12:21:18+00,33.8547,35.8623,635447,8438,0,0,9309.975823,,,1.327884151,422,LBN
28.2336,-29.61,100,Lesotho,2021/10/21 12:21:18+00,-29.61,28.2336,21566,655,0,0,1006.697625,,,3.037188167,426,LSO
-9.429499,6.428055,101,Liberia,2021/10/21 12:21:18+00,6.428055,-9.429499,5808,286,0,0,114.8353286,,,4.924242424,430,LBR
17.228331,26.3351,102,Libya,2021/10/21 12:21:18+00,26.3351,17.228331,352192,4962,0,0,5125.560903,,,1.408890605,434,LBY
9.55,47.14,103,Liechtenstein,2021/10/21 12:21:18+00,47.14,9.55,3610,60,0,0,9465.873037,,,1.662049861,438,LIE
23.8813,55.1694,104,Lithuania,2021/10/21 12:21:18+00,55.1694,23.8813,379438,5544,0,0,13938.18662,,,1.461108271,440,LTU
6.1296,49.8153,105,Luxembourg,2021/10/21 12:21:18+00,49.8153,6.1296,80331,842,0,0,12832.92011,,,1.048163225,442,LUX
,,106,MS Zaandam,2021/10/21 12:21:18+00,52.442039,4.829199,9,2,0,0,0,,,22.22222222,8888,
46.869107,-18.766947,107,Madagascar,2021/10/21 12:21:18+00,-18.766947,46.869107,43622,960,0,0,157.5312198,,,2.200724405,450,MDG
34.3015,-13.2543,108,Malawi,2021/10/21 12:21:18+00,-13.2543,34.3015,61738,2296,0,0,322.7294575,,,3.718941333,454,MWI
101.975766,4.210484,109,Malaysia,2021/10/21 12:21:18+00,4.210484,101.975766,2407382,28138,0,0,7437.997123,,,1.168821566,458,MYS
73.2207,3.2028,110,Maldives,2021/10/21 12:21:18+00,3.2028,73.2207,86419,239,0,0,15987.47183,,,0.276559553,462,MDV
-3.996166,17.570692,111,Mali,2021/10/21 12:21:18+00,17.570692,-3.996166,15697,558,0,0,77.512857,,,3.554819392,466,MLI
14.3754,35.9375,112,Malta,2021/10/21 12:21:18+00,35.9375,14.3754,37523,459,0,0,8498.230054,,,1.22324974,470,MLT
171.1845,7.1315,113,Marshall Islands,2021/10/21 12:21:18+00,7.1315,171.1845,4,0,0,0,6.847790732,,,0,584,MHL
